userName,score,at,content
Shinta Devie,3,2022-10-05 19:08:17,Zoom nya bermasalah saat mau join loadingnya lama bikin emossi tolong ini diperbaikin
Rando Ternando,5,2022-10-05 11:39:01,"Aplikasinya bagus, tapi akan lebih mantap kalau dijadikan berbayar agar tidak digunakan oleh sembarangan individu atau kelompok."
Karina Adelia,3,2022-10-04 22:22:01,"tolong bgtt zoom kenapa hp realme ga suport buat pake virtual background pdhal itukan dibutuhin bgt buat kalo lagi zoom,kecewa sii"
Elly Biz,5,2022-10-04 18:41:15,Zoom sangat membantu kita untuk berkomunikasi dan tatap muka secara langsung
#Siti Zuriah,5,2022-10-04 13:43:02,Terimakasih banget sangat membantu sekali aplikasi ini...bisa buat meteeng
Usin MAGfr,5,2022-10-03 21:03:09,Sangat membantu sekali adanya kehadiran aplikasi zoom meeting ini.
nurul latipah2306,1,2022-10-02 20:42:44,"Please dong,,, Dulu sebelum di update aku lebih suka zoom dari pada apk sebelah,,, Knpa sekarang setelah di update suka tiba-tiba keluar sendiri, ngilang sendiri,harus masuk lagi ke room meeting, jadi kesel sayaa Banyak ketinggalan materii,,2-5 menit keluar lagi. Please perbiaki dong"
hifdhil irtifa,2,2022-10-02 14:45:17,Sangat disayangkan beberapa fitur dibatasi hanya untuk hp tertentu seperti mengganti background zoom
Yanuar Ilham,1,2022-10-01 08:46:06,"Eror terus , masalah kode , kurang memuaskan sekali sangat mengganggu tidak melancarkan"
Ris Ynt,5,2022-10-01 08:02:58,"Aplokasi Virtual meeting no 1. Sangat baik , mudah setting dan penggunaannya."
aldilatama hs,2,2022-10-01 07:13:35,"app ini kurang bagus buat hp ram 8 gb selain prosesor snapdragon, exynos keluaran 2020 ke atas karena tidak bisa ganti background, aneh saja, disaat semua hp kelas mid sudah punya spek diatas minimum fitur ganti background masih saja berpihak pada kelas menengah atas. You're the king of online class, this is unforgivable for 2022, sorry zoom, this is bad value."
lielie virgo,2,2022-09-30 21:20:39,"Setelah update makin susah masuk zoom, dlu hny tekan join dr link Whatsapp lgsg masuk skrg hrs masuk ke WEB sungguh ribet."
Bunga Ananda Putri,4,2022-09-30 20:09:51,Ini kok zoom saya ga bisa untuk baground ya padahal udah di updateğŸ¥º
Bayu Arya Darwanto,1,2022-09-30 14:25:07,Setelah diupdate malah tidak ada suaranya pas zoom
Victo Panjaita,5,2022-09-30 09:40:05,Konten belum di afiliasi oleh google tetapi scopenya sudah masuk google. Bingung dah . Apa hp ini yg bingung karena sdh diretas dgn merubah sistem versi pabrinya atau google nya.
Sri Wahyuni,1,2022-09-29 15:57:55,"Gara gara ada zoom , semua orang tergantung sama zoom dan jadi jarang ketemu orangnya."
Yunus Saifur Rizal,5,2022-09-27 21:01:46,"Aplikasi terbaik, untuk menjalin silaturahmi dan menjalin hubungan dengan berbagai orang, apalagi pada masa pandemi, makasih ya"
Firman damai setia Hulu,5,2022-09-26 09:10:12,Salah satu aplikasi belajar online yg bagus dan dimengerti sesuai kendaraan internet di masing2 daerah
Santi F.,1,2022-09-24 22:39:01,Share screen ga muncul suara padahal settingan sound saat share screen udah dihidupin.
M.Fahrul Razi,1,2022-09-24 13:05:36,"Maaf ini kenapa ya saya gak bisa make zoom nya? Selalu keluar dari aplikasi, padahal baru di pencet. Tolong perbaiki"
Rio Haryono,1,2022-09-24 08:26:13,Ini kenapa kok aplikasinya nggak bisa didownload y padahal ruangan saya masih cukup trs internet saya juga lancar tetapi kok masih nggak bisa didownload
Muslim Romadlon Ashari,1,2022-09-22 20:42:04,"Aplikasi ini merusak software hpku, garaÂ² apk ini aku nonton youtube suaranya malah pindah ke earpieceğŸ˜¡ğŸ¤¬"
Gallery Antiaging,5,2022-09-19 04:12:00,zoom sangat membantu kereee. tingkatkan terus pelayanannya
Gabriel Gattong,1,2022-09-17 16:26:51,"Update nya jelek. Hd video auto fokusnya bug, jadi blur sampai hitam gelap"
Boy Nuakta,1,2022-09-16 19:44:14,"tidak biaa digunakan sama sekali. daftar,login dan bergabung pun selalu gagal .mohon solusinya, mengirim umpan balik pun tidak bisa"
Khotimatul Fitriyah,5,2022-09-16 07:58:42,"Haloo zoom, mohon maaf, untuk saya kan ram hanya 2 GB jadi tidak bisa menggunakan background, kalo ganti hp pun saya belum punya uang. Bisa nggak kebijakan nya pakai yg 2 GB saja. Agar yg punya hp bisa mengakses ganti background. Terimakasih ğŸ¥°ğŸ™"
Rita Lastono,4,2022-09-15 22:58:30,Amazing .... Dengan Zoom bisa mendapat ilmu walau guru kita jauh dan relasi ke manca dunia.
Ewien Life's,5,2022-09-15 14:02:45,"Aplikasi belajar paling tepat untuk membantu saya dalam bekerja maupun bermasyarakat, berteman dengan orang lain di seluruh dunia"
Aisyah Mahdiah,3,2022-09-14 17:00:11,Kok gabisa pake fitur virtual background yaa. Padahal persyaratan android sudah memadai. Butuh bgt buat besok seminar online. Mohon di perbaiki sistem nya.
Dr Yenni Wellness Coach,1,2022-09-12 18:34:15,"Kenapa tidak bisa menyalin link meeting via android. Ini sangat menyulitkan. Harap segera diperbaiki. Karena saya sudah bayar aplikasi ini, seharusnya hal seperti ini tidak terjadi."
Aisyah KL,3,2022-09-12 14:30:25,"Tolong bgt zoom, kan klo pake headset bluetooth tuh kadang2 suka mati, nah harusnya ada pilihan pengaturan, jadi klo bluetooth mati bisa milih beralih ke gada suaranya dongg, atau engga suara speakernya bisa dikecilin sampe 0, gue kaget tiba2 lgsg berisik bgt, mana ganggu orang yg di sebelah jugaa. Terus gue kok ga bisa pake background foto ya??"
Holy Force,1,2022-09-12 07:20:52,"Jangan update terlalu sering, sebagai user sangat malas untuk mengecek update yang tersedia di play store. Sedangkan kalau versi zoom berbeda maka akan mengalami gangguan seperti tidak bisa masuk room meeting ataupun suara tidak terdengar jelas"
Diva Salsabila,1,2022-09-11 21:51:09,"Saya tidak bisa log in. Sudah 2 kali saya coba log in, ternyata dari Google nya error. Bagaimana ini? Terus untuk daftar ulang pun saya tidak bisa. Bagaimana?"
Amalia Nur Hidayanti,1,2022-09-11 08:39:51,"Padahal zoom udah versi terbaru, hp memadai ram 3. Tapi virtual background tetep aja gabisa dipake."
FD09,1,2022-09-09 07:04:39,"Tdk bisa menggunakan background pdhl sdh update, tidak bisa mengganti foto profil, setiap ingin login selalu disuruh memasukkan biodata organization, beberapa kali web untuk mengganti password error"
Rafa Aqila 11 IPS 4,1,2022-09-04 19:10:14,Untuk meeting cukup 40 menit tidak 1 jam atau 2 jam gitu kalau mau 1 jam atau 2 jam harus premium dulu. Koreksi tambahan untuk virtual background harus di hp tertentu kalau menggunakan background sering gak kelihatan orangnya Tolong diperbaiki lagi untuk pihak zoom
M.ilyasa Zhavutra,1,2022-09-03 10:40:09,woi tolong dong chat di zoom bisa diunsend. susah bgt kalo salah ketik atau salah kirim terus udh ke send. cpt buka fitur unsend pesan di chat zoom.......
sarah azzahra,5,2022-09-03 10:08:09,"halo, menurut saya zoom sudah sangat baik. tapi untuk video mungkin bisa diadakan mirror yang konsisten ya. kadang dari personal sudah mirror video, tapi ternyata dilihat dari zoom yang lain itu tidak berpengaruh. tolong ditingkatkan lagi. terimakasih."
Harry Victor,4,2022-09-01 17:14:17,Secara umum baik dan lancar hanya beberapa kali terganggu gangguan signal
SIJACKS S,1,2022-09-01 12:33:11,"Tidak bisa ganti background di tampilan Zoom, Menu untuk ganti background tidak ada"
Adam Sahili,4,2022-08-31 21:13:46,"Terimakasih Zoom banyak sekali manfaat untuk pertemuan meskipun jarak jauh antar daera kota,dan manca negara."
Riza Rahmad Mardani,4,2022-08-31 09:27:00,"Aplikasi ini sangat membantu dalam kegiatan meeting, satu hal yang saya rasa kurang adalah fitur virtual background yang tidak suport di beberapa Laptop dan HP yang tidak memiliki spesifikasi tinggi."
Danis Andre,5,2022-08-29 08:16:19,"Udah bagus, minta tolong di tambahkan fitur background utk pengguna handphone atau android"
Aisy,1,2022-08-27 08:22:21,Dulu saya sangat suka dengan zoom. Karna sangat bermanfaat & memudahkan banget. Tapi kenapa sekarang saya tidak bisa menyalin link meeting. Bahkan tidak bisa mengganti foto pp. Padahal udah update berkaliÂ². Tolong dibetulkan lagi apk nya. Sangat kecewa banget
Antonius Anyi,5,2022-08-26 22:53:54,"Aplikasi yang sangat membantu ketika masa pandemi, tidak bisa ketemu tatap muka tapi bisa ketemu lewat zoom"
Nurani Rani,5,2022-08-26 09:46:42,Alhamdulillah sangat membantu dengan adanya zoom ini bisa belajar via on-line
Amar b. wijaya,4,2022-08-26 07:44:57,"for all features sudah bagus, tapi untuk beberapa hp dan laptop dengan spesifikasi yang standar tidak dapat menggunakan virtual background walaupun akun sudah berlangganan BERLISENSI/Zoom One Pro( mounthly, annual ), tolong ditingkatkan lagi agar dapat menggunakan virtual background minimal yg blur ataupun hanya untuk akun berlangganan BERLISENSI/Zoom One Pro ( mounthly, annual )."
Kang Rama,2,2022-08-25 11:23:17,"Apk nya waktu lagi meetingnya download paket emoji trus bikin jaringan lemot, tolong perbaiki"
KARISTIANI HIA,4,2022-08-24 10:19:29,Kok gk ada aplikasi backgroundnya di zoomnya. Ditingkatkan dong
Udin Nashruddin,5,2022-08-22 11:05:24,"Saya sangatbterbantu dengan aplikasi zoom, terutama saat pandemi sedang tinggi-tingginya. Saya juga anyak.mendapatkan hal baru melalui zoom. Terima kasih"
Seni Kuliner - Dyah Paramesthi,1,2022-08-19 23:14:36,Selalu ada bug setelah saya mau ada meeting ini zoom knp sih? Makin hari bukannya makin bagus malah jadi makin menyusahkan aja tiap-tiap kali selalu ada update dan updatenya cuma perbaikan bug tolong lah yaaa tolong lebih di kembangkan program nya lagi tp ya ukurannya tetap standar
Bahrul Ulum,4,2022-08-19 16:33:27,Assalamu'alaikum... sya baru menggunakannya mudah2n bisa membantu agar lebih mudah dan lncar .. suxses untuk semuanya
tafnaldi -,5,2022-08-18 19:28:14,"Membantu sekali dalam kegiatan meeting, asal didukung dgn jaringan yang kuat."
Kang Handis,5,2022-08-18 18:44:31,"Aplikasi yang sangat bagus dan menarik juga bermanfaat, terimakasih, semoga kedepannya akan lebih baik lagi dan selalu yang terdepan ğŸ‘ğŸ‘ğŸ‘ğŸ‘"
Asep Rohmandar,4,2022-08-18 08:29:44,Rekording dan pembagiannya perlu dioptimalkan lagi !
Pang Nanggroe Raja Damad Saby,5,2022-08-16 09:33:40,Bagus aplikasinya! Tapi ada yang kurang.. Kenapa kalo di android ga bisa video screen sama filter?
Harjuna.Z 362,2,2022-08-16 02:31:14,Mengapa untuk mengatur latar belakang saat rapat rasanya sangat ribet. Dan memakan begitu banyak kuota internet -_-
fuschia alea,5,2022-08-15 17:21:03,Kamu bisa membantu banget itu waktu aku lagi belajar nih di zoom bahasa Jepang itu tuh aku suka banget soalnya teman-temannya banyak tapi kan gituan tukang ngelag-ngelag gitu gimana sih aku jadi bingung
BENARIS SINAGA,3,2022-08-15 14:36:48,"Tidak bisa membagikan salinan url/link untuk zoom memulai rapat baru. Hanya muncul tulisan seperti ini ${gabungRapatUrl},. Masih lebih bagus versi sebelum upgrade"
masganjar nugraha,3,2022-08-14 16:52:30,"Saya pengguna Oppo Reno6 5G, saat membuka aplikasi zoom tidak terdapat fitur VBG nya ya. Padahal gadget saya keluaran terbaru. Mohon bantuannya."
Intan Permatasari,1,2022-08-13 19:49:39,"Kenapa zoom di hp sekarang gaada pilihan offcam nya pas diawal mau gabung, saya yang gatau dan gasadar camera on parah banget mana aurat jadi kelihatan, tolong benerin kaya dulu."
Vhya Rampala,4,2022-08-12 12:38:45,"Bagus sih.. Cuman kok di hp & pc saya tidak bisa atur backroundnya,, malah di hp utk fitur backround tidakk ada"
Siti Saroh,1,2022-08-11 14:34:47,"Tampilin PDF di layar zoom, kok jadi jelek semua. Tulisan ga kebaca..tolong diperbaiki"
Ilhamsyah EPAS,5,2022-08-10 08:50:39,Mohon update selanjutnya bisa menghapus pesan sehingga tidak menumpuk
qodli zaka fatahilah,1,2022-08-09 16:21:30,Parah. Bru sja buat kq bsa email SMA password g singkron trus. Berulang kali verifikasi lewat email jga dengan sandi dan email yang sama. Berhasil trus tpi pas masuk zoom kq g singkron trus .ğŸ‘
Aliyah Kamila,3,2022-08-09 09:28:57,Membantu banget sih tapi sayang nya cuma bisa 45 mnt zoom nya karena saya yang gartis
Rachmad Firdaus,4,2022-08-09 08:58:43,"Saya kadang kalau lagi zoom meeting tiba tiba hilang suara, sy tidak tau apakah problem di zoom aplikasi atau hp saya, Terima kasih"
Dian Wa dian,5,2022-08-08 19:38:12,"aplikasi nya sangat bagus ,nyaman di gunakan untuk meeting bersama..video dan audio nya sangat jernih"
Bianca Pricilia,5,2022-08-07 21:43:17,Zoom ini sangat bagus banget saya suka tapi di samsung semua pasti ada kan tapi kok disaya engga ada ya?
Bilqis 123,5,2022-08-07 00:26:38,Aplikasi yang sangat membantu bagi saya. Jadi tambah semangat buat menyelesai kan tugas.
santoso tos,4,2022-08-06 10:18:39,"Gambar bagus, audionya ada sedikit krg koordinasi, tdk dpt berhubungan dg camera yg sdg on video tdk ada audionya. Karena sdh mute."
Winny Ariesyana,4,2022-08-05 22:22:07,Bisa menjadi panduan untuk semua orang yg bisa berbagi pengalaman luas dengan aplikasi ini good everything
Dewi Cahya,2,2022-08-05 19:54:26,ğŸ™Kenapa ya zoom gak bisa di pergunakan. Udh loging berulang ttp saja tidak bisa pdahal anak butuh bgt buat zoom miting dr sekolah.. Tolong ya di perbaiki
Anas Alihi,4,2022-08-04 16:06:43,Saran saja kalau bisa tidak ada pembatasan masuk dalam zoom berhubungan maksimal 100 orang masuk kalau bisa tidak ada pembatasan seperti begitu. Dan durasi waktunya hanya 40 menit kalau bisa waktu tidak menentu sampai berapa tergantung dari host kasih mati zoom miting.. Mohon maaf hanya sekedar saran
Ahmad Barir Mahdi Farihi AF,1,2022-08-04 09:07:54,"Buruk sekali, saya ketika ingin masuk rapat selalu keluar rapat dan aplikasinya makan kuota, masa 1 kali meeting 1 jam makan 3GB"
Christy Rizki Nurrohmawati,3,2022-08-03 15:47:12,Aplikasi zoom di hp saya tidak dapat merubah background meeting.. mohon bantuannya.. saya memakai hp oppo reno 7 5g dengan sistem android 12
Asiana Kanache,1,2022-07-31 12:53:47,Dulu zoom mentang Sekarang ubah zoom rapat Aduh susah Nggak bisa masuk Pada pin kode benar Sudah lain sekarang Kembali seperti semula
Samuel E. Ndraha,5,2022-07-30 23:34:31,"Mohon perbaikannya, soalnya saya gak bisa ganti Background di Zoom.. Kadang kalau Zoom di haruskan pasang Background tentang acara yang saya ikuti....."
dedy zanetti,1,2022-07-30 17:16:25,"Virtual Background nya tidak muncul,,, padahal Spesifikasi sudah sesuai"
Endro Yunianto,1,2022-07-29 17:13:55,"Hati hati tidak bisa unsubscribe, menu unsubscribe hilang, parah ini aplikasi, response pengembangnya jelek"
Intan Aurelia Manurung,5,2022-07-29 09:31:07,Zoom ini membantuku untuk belajar walaupun di rumah aku juga bisa bertemu guru dan temanku 5 bintang untuk aplikasi ini ğŸ˜Š
Mitha KR,3,2022-07-29 04:42:31,"Kenapa audio aplikasi zoom itu pelan sekali? Padahal kalau dengar Spotify, youtube, dll suaranya baik2 aja"
Su Toro,1,2022-07-28 20:11:55,"Saya baru pertama pake setelah vakum 2 tahun ga pake zoom tapi kenapa tampilannya beda sari yang dulu yaa, untuk fitur turn on camera sama mic dimana si saya cari2 ga nemuu padahal dulu ditampilkan, takutnya pas lagi zoom mic/camera nyala. Tolong diperbaiki"
CK7 HENRIS,2,2022-07-28 19:20:44,Klo di tarik data absensi durasi jam. Kadang nga sesuai. Beda sama kenyataan.. udah masuk zoom/webinar 5 jam. Tapi tidak terbaca jam keluar dan masuk... ğŸ‘
Ps Jhoni Natanael Sinuhaji TV,3,2022-07-27 15:13:57,"Mohon di perbaiki, kualitas suara sering terganggu suara yang mendengung.. Sehingga tidak terdengar suara lawan bicara."
Zuli 789,5,2022-07-27 10:10:59,"Pembelajaran intrakurikuler yang beragam, sehingga peserta didik memiliki cukup waktu untuk mendalami konsep dan memperkuat kompetensi, membuat siswa merdeka"
Mikael Septianrahandra,1,2022-07-25 21:13:03,"Ketika dipakai selalu bermasalah. Kamera tidak bisa menyala walaupun saya sudah memberi izin kamera, penyimpanan, dan lain-lain. Terkadang aplikasi ini tidak bisa dijalankan."
Tatang Rudi Wicaksono,4,2022-07-25 18:09:34,"saya sudah instal aplikasi zoom, akan tetapi ada sedikit masalah dan tolong segera diperbaiki. Masalahnya yaitu saat kita buat room keeting, saat kita meng copy ataupun ingin menshare link meetingnya tidak bisa. saat kita kirimkan melalui sms email dll munculnya ""${gabungRapatUrl}"" Tolojg diperbaiki"
Sumiyati Yati,4,2022-07-23 22:34:26,Zoom membuat mudah berkomunikasi dalam jarak jauh lebih aman dan baik.
Agung Kristianto,4,2022-07-23 14:08:42,Sangat membantu sekali untuk meeting apalagi d masa masa ini.... Cuma sayang hp saya redmi note 11 tidak suport untuk mengganti background virtualnya....alangkah bagusnya kalo d apgrade...bisa suport ke hp saya...
Fauzul Mahiroh,5,2022-07-21 16:27:32,"Aplikasi yang sangat membantu sekali ketika ingin melakukan meeting atau acara lainnya yang memerlukan video. Namun ada beberapa masukan nih, terutama untuk merubah backscreen. Ternyata pada android saya Samsung j4+ dan beberapa mungkin smartphone lain juga sama belum bisa support fitur ini. Mohon kedepannya fitur sudah bisa maksimalğŸ˜­"
Nathanael Tansenjaya,1,2022-07-21 12:36:17,Zoom kenapa ya jadi sangat jelek saat saya pakai wifi putus sambung putus sambung ini aja putus nya sampai keluar dari zoom mohon perbaikan nya karena selama saya pake paket data lancar lancar saja gak ada masalah
Catrien Shofiya,2,2022-07-19 09:21:34,"Cukup menganggu apabila harus mengupdate zoom, maka tidak bisa membuka zoom meet secara langsung melalui link, aplikasi harus di update baru bisa join zoom meet."
Tanti Putri,5,2022-07-12 22:32:15,"Sangat membantu dengan adanya Aplikasi zoom ini. Tapi tetap hrs ditingkatkan lagi jaringanya, agar yg jatinganny rendah msih bisa menggunakan zoom dgn lncr."
el azizy,4,2022-07-02 05:50:20,"over all sudah bagus, tapi untuk beberapa hp dan laptop dengan spesifikasi yang standar tidak dapat menggunakan virtual background, tolong ditingkatkan lagi agar dapat menggunakan virtual background minimal yg blur. Serta ditambahkan fitur pengaturan kualitas video supaya kuota yg terpakai dapat diatur/ tidak terlalu boros."
Vita Aleita,3,2022-05-23 09:32:56,"Tolong ditingkatkan lagi... sekarang utk ke setting/preference/pengaturan dari hp malah tidak bisa. Kemudian, tolong privasi turn on video dan mic ditampilkan di depan secara langsung. karena kawatir ketika rapat tdk sadar mic terbuka..."
Ilham Akbar Hekmatiar,4,2022-05-21 11:06:50,"Di perangkat saya terdapat bug, jika saya mengubah rotasi baik vertikal menjadi horizontal ataupun sebaliknya layar share screen menjadi hitam jadi saya harus keluar dulu baru masuk lagi, Saya harap developer bisa memperbaiki masalah ini"
Muhammad Rachmad Zaqiyudin,4,2022-05-10 21:17:14,Mohon pada update selanjutnya virtual background dapat digunakan oleh segala jenis dan spesifikasi HP yang standar atau diturunkan batas minimal spesifikasinya. agar memudahkan setiap orang dalam melakukan rapat karena banyak hal yang menganggu jika video zoom tidak menggunakan virtual background. Semoga saran saya dapat dipertimbangkan dan ditindaklanjuti oleh developer zoom meeting. Terimakasih ğŸ™
Sapri Yadi,5,2022-05-08 12:01:21,Sangat mem bantu dengan ada nya aplikasi zoom ini tapi masih harus lebih di per baiki dan harus menguna kan jaringan yang lebih rendah agar semua nya lebih baik dan jelas di saat melaku kan zoom miting
Galih Prayogi,3,2022-04-22 22:20:31,Perlu disesuaikan dengan jaringan seluruh pengguna. Karena tidak semua negara sama. Indonesia mungkin salah satu pengguna yg cukup banyak. Tapi tidak sdikit yg mengalami kurangnya rasa puas dalam menggunakan aplikasi zoom. Mungkin pembaharuan berikutnya dapat memberi kepuasan dg merata.
